=============================================================================================================
IsPublic IsSerial Name                                     BaseType                                                                                                                            
-------- -------- ----                                     --------                                                                                                                            
True     True     Classification                           System.Enum                                                                                                                         
True     True     CommunicationLoad                        System.Enum                                                                                                                         
True     True     ConfigurationDQOrDIGroup2                System.Enum                                                                                                                         
True     True     ControlFunctionCurrentMeasuringModule... System.Enum                                                                                                                         
True     True     ControlFunctionFeedbackCLOSEDFC          System.Enum                                                                                                                         
True     True     ControlFunctionFeedbackON                System.Enum                                                                                                                         
True     True     ControlFunctionFeedbackOPENFO            System.Enum                                                                                                                         
True     True     ControlFunctionForward                   System.Enum                                                                                                                         
True     True     ControlFunctionForwardFast               System.Enum                                                                                                                         
True     True     ControlFunctionOFF                       System.Enum                                                                                                                         
True     True     ControlFunctionReverse                   System.Enum                                                                                                                         
True     True     ControlFunctionReverseFast               System.Enum                                                                                                                         
True     True     ControlFunctionTorqueCLOSEDTC            System.Enum                                                                                                                         
True     True     ControlFunctionTorqueOPENTO              System.Enum                                                                                                                         
True     True     ControlStationModeSelectorS1             System.Enum                                                                                                                         
True     True     ControlStationModeSelectorS2             System.Enum                                                                                                                         
True     True     CounterMode                              System.Enum                                                                                                                         
True     False    IHardwareCompareTarget                                                                                                                                                       
True     False    HardwareObject                           System.Object                                                                                                                       
True     False    IMasterCopySource                                                                                                                                                            
True     False    Device                                   Siemens.Engineering.HW.HardwareObject                                                                                               
True     False    DeviceComposition                        System.Object                                                                                                                       
True     False    DeviceGroup                              System.Object                                                                                                                       
True     False    DeviceItem                               Siemens.Engineering.HW.HardwareObject                                                                                               
True     False    DeviceItemAssociation                    System.Object                                                                                                                       
True     True     DeviceItemClassifications                System.Enum                                                                                                                         
True     False    DeviceItemComposition                    System.Object                                                                                                                       
True     False    DeviceSystemGroup                        Siemens.Engineering.HW.DeviceGroup                                                                                                  
True     False    DeviceUserGroup                          Siemens.Engineering.HW.DeviceGroup                                                                                                  
True     False    DeviceUserGroupComposition               System.Object                                                                                                                       
True     True     Failsafe_BehaviorAfterChannelFault       System.Enum                                                                                                                         
True     True     Failsafe_ChannelFailureAcknowledge       System.Enum                                                                                                                         
True     True     Failsafe_ControlOfOutput                 System.Enum                                                                                                                         
True     True     Failsafe_DiscrepancyBehavior             System.Enum                                                                                                                         
